z,T,t,fs,fl,x,y,w,rho_b,p
8.855218855218855,973.5005590507292,971.9773724857718,0.24332059632868344,0.0,0.2351455350769163,0.16215036231548985,0.047307724768934765,1214.8133595767756,24726.482354704727
8.88888888888889,974.1106416181219,972.5755448818857,0.24439528933205262,0.0,0.23545608766398066,0.16183355048067574,0.0473130269473945,1214.5755435334872,24754.919877019012
8.922558922558924,974.7265037455398,973.179353505536,0.24548444639396674,0.0,0.2357707944538705,0.16151253025054293,0.04731851861400734,1214.3345529316769,24783.312179664565
8.956228956228957,975.3482190474408,973.7888703924859,0.2465882415692052,0.0,0.23608970547192168,0.1611872509108752,0.04732420205893809,1214.0903495397165,24811.659700923854
8.98989898989899,975.9758620035187,974.4041684309034,0.2477068503533189,0.0,0.2364128711801504,0.1608576612986213,0.047330079554748876,1213.842894803969,24839.96287930742
9.023569023569022,976.6095079648298,975.0253213680755,0.2488404496684685,0.0,0.23674034247431738,0.16052370980457317,0.047336153354365085,1213.5921498516295,24868.22215359074
9.057239057239055,977.2492331596734,975.652403816859,0.24998921784807576,0.0,0.2370721706806718,0.16018534437635767,0.047342425688978486,1213.3380754938178,24896.437962851043
9.09090909090909,977.8951146992209,976.2854912618674,0.251153334620243,0.0,0.23740840755236123,0.15984251252175588,0.04734889876588702,1213.0806322289302,24924.610746503917
9.124579124579125,978.547230582891,976.9246600653985,0.2523329810898919,0.0,0.23774910526549298,0.1594951613123642,0.047355574766270725,1212.8197802462657,24952.74094433979
9.158249158249157,979.2056597034606,977.5699874731001,0.2535283397195707,0.0,0.23809431641483017,0.15914323738761374,0.04736245584290348,1212.555479429931,24980.828996560238
9.19191919191919,979.8704818519034,978.2215516193726,0.25473959430886983,0.0,0.2384440940091047,0.15878668695916573,0.04736954411780004,1212.2876893630414,25008.87534381414
9.225589225589225,980.5417777219383,978.8794315325057,0.2559669299723805,0.0,0.2387984914659262,0.15842545581570383,0.04737684167979821,1212.0163693322318,25036.880427233617
9.25925925925926,981.2196289142689,979.5437071395423,0.2572105331161188,0.0,0.2391575626062624,0.15805948932814684,0.047384350582075796,1211.7414783324907,25064.844688469813
9.292929292929292,981.9041179404894,980.2144592708637,0.25847059141232354,0.0,0.23952136164846297,0.15768873245531112,0.04739207283960228,1211.4629750723414,25092.768569728476
9.326599326599325,982.5953282266169,980.891769664485,0.25974729377251676,0.0,0.2398899432017908,0.15731312975005685,0.04740001042652505,1211.180817979391,25120.652513805286
9.36026936026936,983.2933441162062,981.5757209700487,0.26104083031868547,0.0,0.24026336225941725,0.1569326253659626,0.04740816527349019,1210.894965206278,25148.49696412102
9.393939393939394,983.9982508729792,982.2663967524996,0.26235139235240745,0.0,0.24064167419082497,0.1565471630645836,0.047416539264897965,1210.6053746370596,25176.302364756415
9.427609427609427,984.7101346828814,982.9638814954192,0.26367917232168897,0.0,0.2410249347335461,0.15615668622336634,0.047425134236093056,1210.3120038940847,25204.06916048681
9.46127946127946,985.4290826554442,983.6682606039922,0.2650243637852062,0.0,0.24141319998413882,0.1557611378443157,0.04743395197048991,1210.0148103454194,25231.797796816496
9.494949494949495,986.1551828242835,984.3796204075705,0.2663871613735372,0.0,0.24180652638827294,0.15536046056354377,0.04744299419663354,1209.7137511129197,25259.488720012745
9.52861952861953,986.8885241465053,985.0980481617863,0.2677677607468208,0.0,0.2422049707297491,0.1549545966618763,0.04745226258519615,1209.4087830810638,25287.142377139484
9.562289562289562,987.6291965006902,985.823632050154,0.26916635854807014,0.0,0.2426085901182092,0.1545434880767574,0.047461758745910444,1209.0998629067194,25314.759216090584
9.595959595959595,988.3772906830056,986.5564611850818,0.2705831523510639,0.0,0.24301744197520345,0.15412707641578854,0.047471484224440086,1208.7869470300743,25342.339685622694
9.62962962962963,989.1328984008024,987.2966256081861,0.27201834060131347,0.0,0.24343158401814485,0.15370530297236937,0.04748144049918851,1208.4699916870543,25369.884235387475
9.663299663299664,989.8961122627903,988.0442162897649,0.2734721225479895,0.0,0.24385107424149266,0.15327810874409944,0.04749162897804716,1208.148952923688,25397.393315963196
9.696969696969697,990.6670257645044,988.7993251272472,0.27494469816381306,0.0,0.24427597089423161,0.15284543445487342,0.04750205099508464,1207.8237866130662,25424.86737888549
9.73063973063973,991.4457332672214,989.5620449423617,0.2764362680486456,0.0,0.2447063324523201,0.15240722058199638,0.04751270780717868,1207.4944484758144,25452.306876677
9.764309764309765,992.2323299676916,990.3324694766886,0.27794703331067955,0.0,0.24514221758420898,0.15196340739021721,0.047523600590593316,1207.1608941054014,25479.712262875666
9.7979797979798,993.0269118548923,991.1106933851432,0.27947719541646804,0.0,0.24558368510670628,0.15151393497540516,0.0475347304375044,1206.8230790001764,25507.083992061096
9.831649831649832,993.8295756483238,991.8968122267819,0.2810269559971535,0.0,0.24603079392725583,0.15105874332180033,0.04754609835247758,1206.4809586048666,25534.42251987846
